Category,Algorithm,MAPE,R2,RMSE,MAE,Features_Used
Production of Other Metal Coated Sheet and Strip,RandomForest,3.0401826761162165,0.8382655075395355,68.11818946774521,44.24999999999998,12
Production of Wire Rod,XGBoost,0.05698759062544617,0.9999747348644847,0.549411706229318,0.40220503373579547,12
Production of Wire Rod,RandomForest,3.637720318297286,0.8983723010186506,34.845214227286,26.573636363636368,12
Production of Railway Track Material,XGBoost,0.15377953101474032,0.9999659340785877,0.26402615391230666,0.19049580891927084,12
Production of Railway Track Material,RandomForest,5.256252141478374,0.9235998865775374,12.503565713649673,7.313333333333334,12
Total Production of Tubular Products,XGBoost,0.03646574553012978,0.9999812773512721,0.1446139641565908,0.08160654703776042,12
Total Production of Tubular Products,RandomForest,2.051188336498108,0.9722289615040286,5.569582569636617,3.9649999999999985,12
True Steel Use (finished steel equivalent),XGBoost,0.044963730970451574,0.9998100342988108,6.4019243724820605,4.959201388888889,12
True Steel Use (finished steel equivalent),RandomForest,1.3729778237135535,0.7515789231550458,231.5086177181698,152.38777777777776,12
Apparent Steel Use (crude steel equivalent),XGBoost,0.10973307919667727,0.9995859998368442,9.63091923502704,7.175067608173077,12
Apparent Steel Use (crude steel equivalent),RandomForest,2.520112537287109,0.814666549298825,203.7719449437381,164.51923076923077,12
Apparent Steel Use (finished steel products),XGBoost,0.10973749409057285,0.9995915162835256,8.640237037268172,6.468073918269231,12
Apparent Steel Use (finished steel products),RandomForest,2.5210417641328626,0.8145824654438562,184.08300015523935,148.61461538461543,12
True Steel Use per Capita (kg finished steel equivalent),XGBoost,0.01937290412155774,0.9999786218131411,0.14787743837653952,0.09067314995659596,12
True Steel Use per Capita (kg finished steel equivalent),RandomForest,1.330449416509146,0.9169873281905259,9.214858707543977,6.336333333333325,12
Apparent Steel Use per Capita (kg crude steel),XGBoost,0.03384443118359883,0.9999704031141899,0.14219384576792665,0.08950336162861014,12
Apparent Steel Use per Capita (kg crude steel),RandomForest,2.1462467991563594,0.9233624224462716,7.235668742683486,5.667384615384634,12
Apparent Steel Use per Capita (kg finished steel products),XGBoost,0.03216574758874531,0.9999708910489792,0.12757776320353462,0.07673034667968838,12
Apparent Steel Use per Capita (kg finished steel products),RandomForest,2.1488381369283913,0.9236464298851748,6.533958624577646,5.1310000000000136,12
Exports of Iron Ore,XGBoost,0.08684565757735256,0.9999616167550075,886.5482699977806,612.6586538461538,12
Exports of Iron Ore,RandomForest,1.5062329104124086,0.9901196621014271,14223.859091235512,9540.578461538458,12
Exports of Pig Iron,XGBoost,inf,0.9999678676633805,0.0015667014686173873,0.0004573649696718955,12
Exports of Pig Iron,RandomForest,,0.7152727272727273,0.14747881203752625,0.06,12
Exports of Scrap,XGBoost,0.1523066352594004,0.9997402526685125,3.7533891152646937,2.9223163311298075,12
Exports of Scrap,RandomForest,4.490290751965929,0.8030736800929341,103.34748811654786,85.28846153846156,12
Exports of Ingots and Semis,XGBoost,16.070890712788604,0.9979216017245789,1.7786076456985538,1.3125666471628041,12
Exports of Ingots and Semis,RandomForest,127.58907804836252,0.8604231561105322,14.575466215000308,12.295384615384613,12
Exports of Flat Products,XGBoost,0.7762381059555596,0.9994176270100507,5.62296230106325,4.463047907902644,12
Exports of Flat Products,RandomForest,12.41769068474532,0.7418331926280457,118.3899294053991,78.60615384615386,12
Exports of Long Products,XGBoost,0.15309227438347087,0.9999253820536806,0.1951836471018737,0.16397740290715143,12
Exports of Long Products,RandomForest,6.603962153356774,0.848429437670947,8.796891059214746,7.375384615384617,12
Exports of Semi-finished and Finished Steel Products,XGBoost,0.5294177699125676,0.9993604746288177,5.815054153402656,4.4685809795673075,12
Exports of Semi-finished and Finished Steel Products,RandomForest,7.978459263314614,0.7515129975821022,114.6243043096077,73.09538461538465,12
Exports of Tubular Products,XGBoost,0.08535085757962133,0.9999772542723199,0.054268781718514555,0.03717451829176683,12
Exports of Tubular Products,RandomForest,5.236582420753909,0.9228809249611553,3.1599561827536604,2.703076923076924,12
Imports of Iron Ore,XGBoost,0.4199410029605328,0.999981914023742,6.477209333259792,4.279454157902644,12
Imports of Iron Ore,RandomForest,10.41396092678278,0.9816324330793542,206.41572068559563,144.46076923076916,12
Imports of Pig Iron,XGBoost,0.4462317244898282,0.9997588636602388,0.06252637649084918,0.047858788416935846,12
Imports of Pig Iron,RandomForest,9.59448628294782,0.8809854744525548,1.3890948907056764,1.212307692307692,12
Imports of Scrap,XGBoost,2.5399209966158485,0.9999784109963191,0.18587718019040655,0.13846509273235613,12
