Year,BILLETS_COMM_LOW_CARBON,BILLETS_COMM_MEDIUM_CARBON,BILLETS_SBQ_LEGACY_AUTO,BILLETS_SBQ_MINING,BILLETS_SBQ_OIL_GAS,BILLETS_DEG_PREMIUM_AUTO,BILLETS_DEG_PRECISION,SLABS_STD_HOT_ROLLED,SLABS_STD_COLD_ROLLED,SLABS_DEG_AUTOMOTIVE,SLABS_DEG_APPLIANCE,UB_GRADE_300,UB_GRADE_300_PLUS,UC_GRADE_300,UC_GRADE_300_PLUS,PFC_STANDARD,PFC_HIGH_STRENGTH,ANGLES_STANDARD,ANGLES_HIGH_STRENGTH,RAILS_STD_FREIGHT,RAILS_STD_PASSENGER,RAILS_HH_HEAVY_HAUL,RAILS_HH_CRITICAL_INFRA,SLEEPER_BAR_COAL_WAGON,SLEEPER_BAR_GENERAL_FREIGHT
2041,572.8871241379688,381.9247494253126,108.5013492685547,217.0026985371094,108.5013492685547,31.248388589343755,20.832259059562503,182.2822667711719,78.12097147335938,20.832259059562503,13.888172706375002,617.0077545328127,154.25193863320317,393.342443514668,69.41337238494141,333.1841874477188,37.02046527196875,222.12279163181253,24.680310181312507,129.57162845189063,55.53069790795313,49.36062036262501,12.340155090656253,18.510232635984377,12.340155090656253
2042,572.8871241379688,381.9247494253126,108.5013492685547,217.0026985371094,108.5013492685547,31.248388589343755,20.832259059562503,182.2822667711719,78.12097147335938,20.832259059562503,13.888172706375002,617.0077545328127,154.25193863320317,393.342443514668,69.41337238494141,333.1841874477188,37.02046527196875,222.12279163181253,24.680310181312507,129.57162845189063,55.53069790795313,49.36062036262501,12.340155090656253,18.510232635984377,12.340155090656253
2043,572.8871241379688,381.9247494253126,108.5013492685547,217.0026985371094,108.5013492685547,31.248388589343755,20.832259059562503,182.2822667711719,78.12097147335938,20.832259059562503,13.888172706375002,617.0077545328127,154.25193863320317,393.342443514668,69.41337238494141,333.1841874477188,37.02046527196875,222.12279163181253,24.680310181312507,129.57162845189063,55.53069790795313,49.36062036262501,12.340155090656253,18.510232635984377,12.340155090656253
2044,573.1523911729689,382.10159411531265,108.55158923730471,217.10317847460942,108.55158923730471,31.26285770034375,20.841905133562506,182.3666699186719,78.15714425085939,20.841905133562506,13.894603422375006,617.2934509828127,154.32336274570318,393.52457500154304,69.44551323556641,333.3384635307188,37.03760705896876,222.22564235381256,24.691738039312508,129.63162470639065,55.55641058845313,49.383476078625016,12.345869019656254,18.51880352948438,12.345869019656254
2045,573.1523911729689,382.10159411531265,108.55158923730471,217.10317847460942,108.55158923730471,31.26285770034375,20.841905133562506,182.3666699186719,78.15714425085939,20.841905133562506,13.894603422375006,617.2934509828127,154.32336274570318,393.52457500154304,69.44551323556641,333.3384635307188,37.03760705896876,222.22564235381256,24.691738039312508,129.63162470639065,55.55641058845313,49.383476078625016,12.345869019656254,18.51880352948438,12.345869019656254
2046,573.1523911729689,382.10159411531265,108.55158923730471,217.10317847460942,108.55158923730471,31.26285770034375,20.841905133562506,182.3666699186719,78.15714425085939,20.841905133562506,13.894603422375006,617.2934509828127,154.32336274570318,393.52457500154304,69.44551323556641,333.3384635307188,37.03760705896876,222.22564235381256,24.691738039312508,129.63162470639065,55.55641058845313,49.383476078625016,12.345869019656254,18.51880352948438,12.345869019656254
2047,573.1523911729689,382.10159411531265,108.55158923730471,217.10317847460942,108.55158923730471,31.26285770034375,20.841905133562506,182.3666699186719,78.15714425085939,20.841905133562506,13.894603422375006,617.2934509828127,154.32336274570318,393.52457500154304,69.44551323556641,333.3384635307188,37.03760705896876,222.22564235381256,24.691738039312508,129.63162470639065,55.55641058845313,49.383476078625016,12.345869019656254,18.51880352948438,12.345869019656254
2048,573.1523911729689,382.10159411531265,108.55158923730471,217.10317847460942,108.55158923730471,31.26285770034375,20.841905133562506,182.3666699186719,78.15714425085939,20.841905133562506,13.894603422375006,617.2934509828127,154.32336274570318,393.52457500154304,69.44551323556641,333.3384635307188,37.03760705896876,222.22564235381256,24.691738039312508,129.63162470639065,55.55641058845313,49.383476078625016,12.345869019656254,18.51880352948438,12.345869019656254
2049,573.1523911729689,382.10159411531265,108.55158923730471,217.10317847460942,108.55158923730471,31.26285770034375,20.841905133562506,182.3666699186719,78.15714425085939,20.841905133562506,13.894603422375006,617.2934509828127,154.32336274570318,393.52457500154304,69.44551323556641,333.3384635307188,37.03760705896876,222.22564235381256,24.691738039312508,129.63162470639065,55.55641058845313,49.383476078625016,12.345869019656254,18.51880352948438,12.345869019656254
2050,573.1523911729689,382.10159411531265,108.55158923730471,217.10317847460942,108.55158923730471,31.26285770034375,20.841905133562506,182.3666699186719,78.15714425085939,20.841905133562506,13.894603422375006,617.2934509828127,154.32336274570318,393.52457500154304,69.44551323556641,333.3384635307188,37.03760705896876,222.22564235381256,24.691738039312508,129.63162470639065,55.55641058845313,49.383476078625016,12.345869019656254,18.51880352948438,12.345869019656254
