Year,BILLETS_COMMERCIAL,BILLETS_SBQ,SLABS_STANDARD,BILLETS_DEGASSED,SLABS_DEGASSED,HOT_ROLLED_COIL,COLD_ROLLED_COIL,PLATE,GALVANIZED,STRUCTURAL_BEAMS,REBAR,STRUCTURAL_COLUMNS,STRUCTURAL_CHANNELS,RAILS_STANDARD,STRUCTURAL_ANGLES,WIRE_ROD,LARGE_DIAMETER_PIPE,SMALL_MEDIUM_PIPE,WELDED_STRUCTURAL
2034,373.81241427377734,194.0949074113844,115.0192043919315,21.566100823487155,14.377400548991437,661.0112776253566,452.2708741647176,382.690739677838,243.53047070407874,910.2153972884909,945.2236817995868,490.11598315534127,315.0745605998622,385.0911296220538,140.0331380443832,315.0745605998622,510.50371073348606,340.3358071556574,283.6131726297145
2035,373.85641604529627,194.1177544850577,115.03274339855271,21.568639387228632,14.379092924819089,661.0890858149695,452.3241113470844,382.735786524456,243.5591368791993,910.3225395031823,945.3349448686894,490.1736751170982,315.1116482895631,385.13645902057715,140.04962146202806,315.1116482895631,510.5638025516855,340.37586836779036,283.6465569731586
2036,373.85641604529627,194.1177544850577,115.03274339855271,21.568639387228632,14.379092924819089,661.0890858149695,452.3241113470844,382.735786524456,243.5591368791993,910.3225395031823,945.3349448686894,490.1736751170982,315.1116482895631,385.13645902057715,140.04962146202806,315.1116482895631,510.5638025516855,340.37586836779036,283.6465569731586
2037,373.85641604529627,194.1177544850577,115.03274339855271,21.568639387228632,14.379092924819089,661.0890858149695,452.3241113470844,382.735786524456,243.5591368791993,910.3225395031823,945.3349448686894,490.1736751170982,315.1116482895631,385.13645902057715,140.04962146202806,315.1116482895631,510.5638025516855,340.37586836779036,283.6465569731586
2038,373.85641604529627,194.1177544850577,115.03274339855271,21.568639387228632,14.379092924819089,661.0890858149695,452.3241113470844,382.735786524456,243.5591368791993,910.3225395031823,945.3349448686894,490.1736751170982,315.1116482895631,385.13645902057715,140.04962146202806,315.1116482895631,510.5638025516855,340.37586836779036,283.6465569731586
2039,373.85641604529627,194.1177544850577,115.03274339855271,21.568639387228632,14.379092924819089,661.0890858149695,452.3241113470844,382.735786524456,243.5591368791993,910.3225395031823,945.3349448686894,490.1736751170982,315.1116482895631,385.13645902057715,140.04962146202806,315.1116482895631,510.5638025516855,340.37586836779036,283.6465569731586
2040,373.85641604529627,194.1177544850577,115.03274339855271,21.568639387228632,14.379092924819089,661.0890858149695,452.3241113470844,382.735786524456,243.5591368791993,910.3225395031823,945.3349448686894,490.1736751170982,315.1116482895631,385.13645902057715,140.04962146202806,315.1116482895631,510.5638025516855,340.37586836779036,283.6465569731586
2041,370.0216495969551,192.12662575226514,113.85281526060157,21.34740286136279,14.231601907575197,661.2768350383906,452.4525713420567,382.8444834432787,243.62830764572286,913.5404203876594,948.6765904025694,491.90638020873973,316.2255301341898,386.4978701640097,140.54468005963992,316.2255301341898,508.09060660985716,338.7270710732381,282.2725592276984
2042,370.0216495969551,192.12662575226514,113.85281526060157,21.34740286136279,14.231601907575197,661.2768350383906,452.4525713420567,382.8444834432787,243.62830764572286,913.5404203876594,948.6765904025694,491.90638020873973,316.2255301341898,386.4978701640097,140.54468005963992,316.2255301341898,508.09060660985716,338.7270710732381,282.2725592276984
2043,370.0216495969551,192.12662575226514,113.85281526060157,21.34740286136279,14.231601907575197,661.2768350383906,452.4525713420567,382.8444834432787,243.62830764572286,913.5404203876594,948.6765904025694,491.90638020873973,316.2255301341898,386.4978701640097,140.54468005963992,316.2255301341898,508.09060660985716,338.7270710732381,282.2725592276984
2044,370.1929827300258,192.2155871867442,113.90553314770024,21.357287465193796,14.23819164346253,661.5830296410511,452.6620729122982,383.0217540027138,243.7411161835452,913.9634219676541,949.1158612741024,492.1341502902753,316.37195375803407,386.6768323709305,140.60975722579292,316.37195375803407,508.325870561599,338.8839137077327,282.40326142311056
2045,370.1929827300258,192.2155871867442,113.90553314770024,21.357287465193796,14.23819164346253,661.5830296410511,452.6620729122982,383.0217540027138,243.7411161835452,913.9634219676541,949.1158612741024,492.1341502902753,316.37195375803407,386.6768323709305,140.60975722579292,316.37195375803407,508.325870561599,338.8839137077327,282.40326142311056
2046,370.1929827300258,192.2155871867442,113.90553314770024,21.357287465193796,14.23819164346253,661.5830296410511,452.6620729122982,383.0217540027138,243.7411161835452,913.9634219676541,949.1158612741024,492.1341502902753,316.37195375803407,386.6768323709305,140.60975722579292,316.37195375803407,508.325870561599,338.8839137077327,282.40326142311056
2047,370.1929827300258,192.2155871867442,113.90553314770024,21.357287465193796,14.23819164346253,661.5830296410511,452.6620729122982,383.0217540027138,243.7411161835452,913.9634219676541,949.1158612741024,492.1341502902753,316.37195375803407,386.6768323709305,140.60975722579292,316.37195375803407,508.325870561599,338.8839137077327,282.40326142311056
2048,370.1929827300258,192.2155871867442,113.90553314770024,21.357287465193796,14.23819164346253,661.5830296410511,452.6620729122982,383.0217540027138,243.7411161835452,913.9634219676541,949.1158612741024,492.1341502902753,316.37195375803407,386.6768323709305,140.60975722579292,316.37195375803407,508.325870561599,338.8839137077327,282.40326142311056
2049,370.1929827300258,192.2155871867442,113.90553314770024,21.357287465193796,14.23819164346253,661.5830296410511,452.6620729122982,383.0217540027138,243.7411161835452,913.9634219676541,949.1158612741024,492.1341502902753,316.37195375803407,386.6768323709305,140.60975722579292,316.37195375803407,508.325870561599,338.8839137077327,282.40326142311056
2050,370.1929827300258,192.2155871867442,113.90553314770024,21.357287465193796,14.23819164346253,661.5830296410511,452.6620729122982,383.0217540027138,243.7411161835452,913.9634219676541,949.1158612741024,492.1341502902753,316.37195375803407,386.6768323709305,140.60975722579292,316.37195375803407,508.325870561599,338.8839137077327,282.40326142311056
