Year,BILLETS_COMM_LOW_CARBON,BILLETS_COMM_MEDIUM_CARBON,BILLETS_SBQ_AUTOMOTIVE,BILLETS_SBQ_MINING,BILLETS_SBQ_OIL_GAS,BILLETS_DEG_PREMIUM_AUTO,BILLETS_DEG_PRECISION,SLABS_STD_HOT_ROLLED,SLABS_STD_COLD_ROLLED,SLABS_DEG_AUTOMOTIVE,SLABS_DEG_APPLIANCE,UB_GRADE_300,UB_GRADE_300_PLUS,UC_GRADE_300,UC_GRADE_300_PLUS,PFC_STANDARD,PFC_HIGH_STRENGTH,ANGLES_STANDARD,ANGLES_HIGH_STRENGTH,RAILS_STD_FREIGHT,RAILS_STD_PASSENGER,RAILS_HH_HEAVY_HAUL,RAILS_HH_CRITICAL_INFRA,SLEEPER_BAR_COAL_WAGON,SLEEPER_BAR_GENERAL_FREIGHT
2034,583.1196834323439,388.74645562156263,198.79080117011722,154.61506757675784,88.35146718671876,31.806528187218753,21.2043521248125,185.5380810921094,79.51632046804689,21.204352124812505,14.136234749875005,614.7361016781251,153.68402541953128,391.8942648198047,69.15781143878905,331.95749490618755,36.8841661006875,221.30499660412502,24.589444067125,129.09458135240627,55.326249151031256,49.17888813425,12.2947220335625,18.44208305034375,12.2947220335625
2035,583.1883229373439,388.79221529156257,198.8142010013672,154.6332674455078,88.36186711171877,31.81027216021875,21.2068481068125,185.55992093460935,79.52568040054688,21.206848106812497,14.137898737875,614.8084627781251,153.70211569453127,391.9403950210547,69.16595206253906,331.9965699001875,36.8885077666875,221.33104660012503,24.592338511125007,129.10977718340624,55.33276165003125,49.184677022250014,12.296169255562504,18.44425388334375,12.296169255562504
2036,583.1883229373439,388.79221529156257,198.8142010013672,154.6332674455078,88.36186711171877,31.81027216021875,21.2068481068125,185.55992093460935,79.52568040054688,21.206848106812497,14.137898737875,614.8084627781251,153.70211569453127,391.9403950210547,69.16595206253906,331.9965699001875,36.8885077666875,221.33104660012503,24.592338511125007,129.10977718340624,55.33276165003125,49.184677022250014,12.296169255562504,18.44425388334375,12.296169255562504
2037,583.1883229373439,388.79221529156257,198.8142010013672,154.6332674455078,88.36186711171877,31.81027216021875,21.2068481068125,185.55992093460935,79.52568040054688,21.206848106812497,14.137898737875,614.8084627781251,153.70211569453127,391.9403950210547,69.16595206253906,331.9965699001875,36.8885077666875,221.33104660012503,24.592338511125007,129.10977718340624,55.33276165003125,49.184677022250014,12.296169255562504,18.44425388334375,12.296169255562504
2038,583.1883229373439,388.79221529156257,198.8142010013672,154.6332674455078,88.36186711171877,31.81027216021875,21.2068481068125,185.55992093460935,79.52568040054688,21.206848106812497,14.137898737875,614.8084627781251,153.70211569453127,391.9403950210547,69.16595206253906,331.9965699001875,36.8885077666875,221.33104660012503,24.592338511125007,129.10977718340624,55.33276165003125,49.184677022250014,12.296169255562504,18.44425388334375,12.296169255562504
2039,583.1883229373439,388.79221529156257,198.8142010013672,154.6332674455078,88.36186711171877,31.81027216021875,21.2068481068125,185.55992093460935,79.52568040054688,21.206848106812497,14.137898737875,614.8084627781251,153.70211569453127,391.9403950210547,69.16595206253906,331.9965699001875,36.8885077666875,221.33104660012503,24.592338511125007,129.10977718340624,55.33276165003125,49.184677022250014,12.296169255562504,18.44425388334375,12.296169255562504
2040,583.1883229373439,388.79221529156257,198.8142010013672,154.6332674455078,88.36186711171877,31.81027216021875,21.2068481068125,185.55992093460935,79.52568040054688,21.206848106812497,14.137898737875,614.8084627781251,153.70211569453127,391.9403950210547,69.16595206253906,331.9965699001875,36.8885077666875,221.33104660012503,24.592338511125007,129.10977718340624,55.33276165003125,49.184677022250014,12.296169255562504,18.44425388334375,12.296169255562504
2041,576.1647783014063,384.10985220093755,196.41981078457033,152.77096394355468,87.29769368203125,31.427169725531247,20.9514464836875,183.3251567322656,78.56792431382813,20.9514464836875,13.967630989125002,615.51791173125,153.8794779328125,392.3926687286719,69.24576506976562,332.379672334875,36.931074703875,221.58644822325002,24.620716469250002,129.25876146356248,55.3966120558125,49.241432938500004,12.310358234625001,18.4655373519375,12.310358234625001
2042,576.1647783014063,384.10985220093755,196.41981078457033,152.77096394355468,87.29769368203125,31.427169725531247,20.9514464836875,183.3251567322656,78.56792431382813,20.9514464836875,13.967630989125002,615.51791173125,153.8794779328125,392.3926687286719,69.24576506976562,332.379672334875,36.931074703875,221.58644822325002,24.620716469250002,129.25876146356248,55.3966120558125,49.241432938500004,12.310358234625001,18.4655373519375,12.310358234625001
2043,576.1647783014063,384.10985220093755,196.41981078457033,152.77096394355468,87.29769368203125,31.427169725531247,20.9514464836875,183.3251567322656,78.56792431382813,20.9514464836875,13.967630989125002,615.51791173125,153.8794779328125,392.3926687286719,69.24576506976562,332.379672334875,36.931074703875,221.58644822325002,24.620716469250002,129.25876146356248,55.3966120558125,49.241432938500004,12.310358234625001,18.4655373519375,12.310358234625001
2044,576.4315630064062,384.2877086709375,196.5107601158203,152.84170231230465,87.33811560703124,31.44172161853124,20.961147745687498,183.41004277476557,78.6043040463281,20.961147745687498,13.974098497124999,615.8029183312501,153.95072958281253,392.57436043617196,69.27782831226564,332.53357589887503,36.94817509987501,221.68905059925004,24.632116733250005,129.3186128495625,55.4222626498125,49.26423346650001,12.316058366625002,18.4740875499375,12.316058366625002
2045,576.4315630064062,384.2877086709375,196.5107601158203,152.84170231230465,87.33811560703124,31.44172161853124,20.961147745687498,183.41004277476557,78.6043040463281,20.961147745687498,13.974098497124999,615.8029183312501,153.95072958281253,392.57436043617196,69.27782831226564,332.53357589887503,36.94817509987501,221.68905059925004,24.632116733250005,129.3186128495625,55.4222626498125,49.26423346650001,12.316058366625002,18.4740875499375,12.316058366625002
2046,576.4315630064062,384.2877086709375,196.5107601158203,152.84170231230465,87.33811560703124,31.44172161853124,20.961147745687498,183.41004277476557,78.6043040463281,20.961147745687498,13.974098497124999,615.8029183312501,153.95072958281253,392.57436043617196,69.27782831226564,332.53357589887503,36.94817509987501,221.68905059925004,24.632116733250005,129.3186128495625,55.4222626498125,49.26423346650001,12.316058366625002,18.4740875499375,12.316058366625002
2047,576.4315630064062,384.2877086709375,196.5107601158203,152.84170231230465,87.33811560703124,31.44172161853124,20.961147745687498,183.41004277476557,78.6043040463281,20.961147745687498,13.974098497124999,615.8029183312501,153.95072958281253,392.57436043617196,69.27782831226564,332.53357589887503,36.94817509987501,221.68905059925004,24.632116733250005,129.3186128495625,55.4222626498125,49.26423346650001,12.316058366625002,18.4740875499375,12.316058366625002
2048,576.4315630064062,384.2877086709375,196.5107601158203,152.84170231230465,87.33811560703124,31.44172161853124,20.961147745687498,183.41004277476557,78.6043040463281,20.961147745687498,13.974098497124999,615.8029183312501,153.95072958281253,392.57436043617196,69.27782831226564,332.53357589887503,36.94817509987501,221.68905059925004,24.632116733250005,129.3186128495625,55.4222626498125,49.26423346650001,12.316058366625002,18.4740875499375,12.316058366625002
2049,576.4315630064062,384.2877086709375,196.5107601158203,152.84170231230465,87.33811560703124,31.44172161853124,20.961147745687498,183.41004277476557,78.6043040463281,20.961147745687498,13.974098497124999,615.8029183312501,153.95072958281253,392.57436043617196,69.27782831226564,332.53357589887503,36.94817509987501,221.68905059925004,24.632116733250005,129.3186128495625,55.4222626498125,49.26423346650001,12.316058366625002,18.4740875499375,12.316058366625002
2050,576.4315630064062,384.2877086709375,196.5107601158203,152.84170231230465,87.33811560703124,31.44172161853124,20.961147745687498,183.41004277476557,78.6043040463281,20.961147745687498,13.974098497124999,615.8029183312501,153.95072958281253,392.57436043617196,69.27782831226564,332.53357589887503,36.94817509987501,221.68905059925004,24.632116733250005,129.3186128495625,55.4222626498125,49.26423346650001,12.316058366625002,18.4740875499375,12.316058366625002
