Year,BILLETS_COMM_LOW_CARBON,BILLETS_COMM_MEDIUM_CARBON,BILLETS_SBQ_LEGACY_AUTO,BILLETS_SBQ_MINING,BILLETS_SBQ_OIL_GAS,BILLETS_DEG_PREMIUM_AUTO,BILLETS_DEG_PRECISION,SLABS_STD_HOT_ROLLED,SLABS_STD_COLD_ROLLED,SLABS_DEG_AUTOMOTIVE,SLABS_DEG_APPLIANCE,UB_GRADE_300,UB_GRADE_300_PLUS,UC_GRADE_300,UC_GRADE_300_PLUS,PFC_STANDARD,PFC_HIGH_STRENGTH,ANGLES_STANDARD,ANGLES_HIGH_STRENGTH,RAILS_STD_FREIGHT,RAILS_STD_PASSENGER,RAILS_HH_HEAVY_HAUL,RAILS_HH_CRITICAL_INFRA,SLEEPER_BAR_COAL_WAGON,SLEEPER_BAR_GENERAL_FREIGHT
2034,558.1188074024062,372.07920493493754,105.70431958378906,211.40863916757812,105.70431958378906,30.442844040131245,20.2952293600875,177.5832569007656,76.10711010032811,20.295229360087497,13.530152906725,646.4373600321002,161.60934000802504,396.25367021198446,69.92711827270314,335.65016770897506,37.294463078775,0.0,0.0,174.04082770095002,74.58892615755,0.0,0.0,0.0,0.0
2035,558.1845040334061,372.1230026889375,105.71676212753904,211.43352425507808,105.71676212753904,30.446427492731242,20.2976183284875,177.60416037426558,76.11606873182811,20.297618328487495,13.531745552324999,646.5134527137001,161.62836317842502,396.30031356248435,69.93534945220311,335.689677370575,37.298853041175,0.0,0.0,174.06131419214998,74.59770608235,0.0,0.0,0.0,0.0
2036,558.1845040334061,372.1230026889375,105.71676212753904,211.43352425507808,105.71676212753904,30.446427492731242,20.2976183284875,177.60416037426558,76.11606873182811,20.297618328487495,13.531745552324999,646.5134527137001,161.62836317842502,396.30031356248435,69.93534945220311,335.689677370575,37.298853041175,0.0,0.0,174.06131419214998,74.59770608235,0.0,0.0,0.0,0.0
2037,558.1845040334061,372.1230026889375,105.71676212753904,211.43352425507808,105.71676212753904,30.446427492731242,20.2976183284875,177.60416037426558,76.11606873182811,20.297618328487495,13.531745552324999,646.5134527137001,161.62836317842502,396.30031356248435,69.93534945220311,335.689677370575,37.298853041175,0.0,0.0,174.06131419214998,74.59770608235,0.0,0.0,0.0,0.0
2038,558.1845040334061,372.1230026889375,105.71676212753904,211.43352425507808,105.71676212753904,30.446427492731242,20.2976183284875,177.60416037426558,76.11606873182811,20.297618328487495,13.531745552324999,646.5134527137001,161.62836317842502,396.30031356248435,69.93534945220311,335.689677370575,37.298853041175,0.0,0.0,174.06131419214998,74.59770608235,0.0,0.0,0.0,0.0
2039,558.1845040334061,372.1230026889375,105.71676212753904,211.43352425507808,105.71676212753904,30.446427492731242,20.2976183284875,177.60416037426558,76.11606873182811,20.297618328487495,13.531745552324999,646.5134527137001,161.62836317842502,396.30031356248435,69.93534945220311,335.689677370575,37.298853041175,0.0,0.0,174.06131419214998,74.59770608235,0.0,0.0,0.0,0.0
2040,558.1845040334061,372.1230026889375,105.71676212753904,211.43352425507808,105.71676212753904,30.446427492731242,20.2976183284875,177.60416037426558,76.11606873182811,20.297618328487495,13.531745552324999,646.5134527137001,161.62836317842502,396.30031356248435,69.93534945220311,335.689677370575,37.298853041175,0.0,0.0,174.06131419214998,74.59770608235,0.0,0.0,0.0,0.0
2041,549.9435449939062,366.6290299959375,104.15597443066405,208.3119488613281,104.15597443066405,29.99692063603124,19.997947090687497,174.9820370435156,74.99230159007811,19.997947090687497,13.331964727124998,646.1150261816251,161.52875654540628,396.0560857603711,69.89225042830078,335.48280205584376,37.27586689509375,0.0,0.0,173.95404551043748,74.5517337901875,0.0,0.0,0.0,0.0
2042,549.9435449939062,366.6290299959375,104.15597443066405,208.3119488613281,104.15597443066405,29.99692063603124,19.997947090687497,174.9820370435156,74.99230159007811,19.997947090687497,13.331964727124998,646.1150261816251,161.52875654540628,396.0560857603711,69.89225042830078,335.48280205584376,37.27586689509375,0.0,0.0,173.95404551043748,74.5517337901875,0.0,0.0,0.0,0.0
2043,549.9435449939062,366.6290299959375,104.15597443066405,208.3119488613281,104.15597443066405,29.99692063603124,19.997947090687497,174.9820370435156,74.99230159007811,19.997947090687497,13.331964727124998,646.1150261816251,161.52875654540628,396.0560857603711,69.89225042830078,335.48280205584376,37.27586689509375,0.0,0.0,173.95404551043748,74.5517337901875,0.0,0.0,0.0,0.0
2044,550.1981883389063,366.79879222593763,104.20420233691408,208.40840467382816,104.20420233691408,30.010810273031254,20.007206848687503,175.06305992601563,75.02702568257813,20.007206848687503,13.338137899125002,646.4142003296251,161.6035500824063,396.23947375974615,69.92461301642578,335.6381424788438,37.29312694209376,0.0,0.0,174.03459239643752,74.58625388418751,0.0,0.0,0.0,0.0
2045,550.1981883389063,366.79879222593763,104.20420233691408,208.40840467382816,104.20420233691408,30.010810273031254,20.007206848687503,175.06305992601563,75.02702568257813,20.007206848687503,13.338137899125002,646.4142003296251,161.6035500824063,396.23947375974615,69.92461301642578,335.6381424788438,37.29312694209376,0.0,0.0,174.03459239643752,74.58625388418751,0.0,0.0,0.0,0.0
2046,550.1981883389063,366.79879222593763,104.20420233691408,208.40840467382816,104.20420233691408,30.010810273031254,20.007206848687503,175.06305992601563,75.02702568257813,20.007206848687503,13.338137899125002,646.4142003296251,161.6035500824063,396.23947375974615,69.92461301642578,335.6381424788438,37.29312694209376,0.0,0.0,174.03459239643752,74.58625388418751,0.0,0.0,0.0,0.0
2047,550.1981883389063,366.79879222593763,104.20420233691408,208.40840467382816,104.20420233691408,30.010810273031254,20.007206848687503,175.06305992601563,75.02702568257813,20.007206848687503,13.338137899125002,646.4142003296251,161.6035500824063,396.23947375974615,69.92461301642578,335.6381424788438,37.29312694209376,0.0,0.0,174.03459239643752,74.58625388418751,0.0,0.0,0.0,0.0
2048,550.1981883389063,366.79879222593763,104.20420233691408,208.40840467382816,104.20420233691408,30.010810273031254,20.007206848687503,175.06305992601563,75.02702568257813,20.007206848687503,13.338137899125002,646.4142003296251,161.6035500824063,396.23947375974615,69.92461301642578,335.6381424788438,37.29312694209376,0.0,0.0,174.03459239643752,74.58625388418751,0.0,0.0,0.0,0.0
2049,550.1981883389063,366.79879222593763,104.20420233691408,208.40840467382816,104.20420233691408,30.010810273031254,20.007206848687503,175.06305992601563,75.02702568257813,20.007206848687503,13.338137899125002,646.4142003296251,161.6035500824063,396.23947375974615,69.92461301642578,335.6381424788438,37.29312694209376,0.0,0.0,174.03459239643752,74.58625388418751,0.0,0.0,0.0,0.0
2050,550.1981883389063,366.79879222593763,104.20420233691408,208.40840467382816,104.20420233691408,30.010810273031254,20.007206848687503,175.06305992601563,75.02702568257813,20.007206848687503,13.338137899125002,646.4142003296251,161.6035500824063,396.23947375974615,69.92461301642578,335.6381424788438,37.29312694209376,0.0,0.0,174.03459239643752,74.58625388418751,0.0,0.0,0.0,0.0
