Year,BILLETS_COMMERCIAL,BILLETS_SBQ,SLABS_STANDARD,BILLETS_DEGASSED,SLABS_DEGASSED,REBAR,STRUCTURAL_BEAMS,STRUCTURAL_COLUMNS,STRUCTURAL_CHANNELS,RAILS_STANDARD,OTHER_LONG_PRODUCTS,HOT_ROLLED_COIL,COLD_ROLLED_COIL,PLATE,GALVANIZED,WELDED_STRUCTURAL,SEAMLESS_LINE_PIPE,WELDED_LINE_PIPE,OTHER_TUBE_PIPE
2034,930.1980123373438,422.81727833515623,253.69036700109373,50.738073400218745,33.8253822668125,932.3615769693752,808.0467000401252,466.1807884846876,372.94463078775004,248.62975385850004,279.70847309081256,628.809912268125,393.0061951675781,314.4049561340625,235.80371710054683,216.74661420234375,180.62217850195313,144.4977428015625,180.62217850195313
2035,930.3075067223436,422.86704851015617,253.72022910609368,50.74404582121874,33.829363880812494,932.471326029375,808.141815892125,466.2356630146875,372.98853041175,248.6590202745,279.7413978088125,628.8839300081249,393.0524562550781,314.44196500406247,235.83147375304685,216.77212762734374,180.64343968945312,144.5147517515625,180.64343968945312
2036,930.3075067223436,422.86704851015617,253.72022910609368,50.74404582121874,33.829363880812494,932.471326029375,808.141815892125,466.2356630146875,372.98853041175,248.6590202745,279.7413978088125,628.8839300081249,393.0524562550781,314.44196500406247,235.83147375304685,216.77212762734374,180.64343968945312,144.5147517515625,180.64343968945312
2037,930.3075067223436,422.86704851015617,253.72022910609368,50.74404582121874,33.829363880812494,932.471326029375,808.141815892125,466.2356630146875,372.98853041175,248.6590202745,279.7413978088125,628.8839300081249,393.0524562550781,314.44196500406247,235.83147375304685,216.77212762734374,180.64343968945312,144.5147517515625,180.64343968945312
2038,930.3075067223436,422.86704851015617,253.72022910609368,50.74404582121874,33.829363880812494,932.471326029375,808.141815892125,466.2356630146875,372.98853041175,248.6590202745,279.7413978088125,628.8839300081249,393.0524562550781,314.44196500406247,235.83147375304685,216.77212762734374,180.64343968945312,144.5147517515625,180.64343968945312
2039,930.3075067223436,422.86704851015617,253.72022910609368,50.74404582121874,33.829363880812494,932.471326029375,808.141815892125,466.2356630146875,372.98853041175,248.6590202745,279.7413978088125,628.8839300081249,393.0524562550781,314.44196500406247,235.83147375304685,216.77212762734374,180.64343968945312,144.5147517515625,180.64343968945312
2040,930.3075067223436,422.86704851015617,253.72022910609368,50.74404582121874,33.829363880812494,932.471326029375,808.141815892125,466.2356630146875,372.98853041175,248.6590202745,279.7413978088125,628.8839300081249,393.0524562550781,314.44196500406247,235.83147375304685,216.77212762734374,180.64343968945312,144.5147517515625,180.64343968945312
2041,916.5725749898437,416.6238977226562,249.9743386335937,49.99486772671874,33.329911817812494,931.8966723773437,807.6437827270313,465.9483361886719,372.7586689509375,248.505779300625,279.56900171320314,642.0513025781249,401.28206411132805,321.02565128906247,240.76923846679682,214.96303279687496,179.13586066406248,143.30868853125,179.13586066406248
2042,916.5725749898437,416.6238977226562,249.9743386335937,49.99486772671874,33.329911817812494,931.8966723773437,807.6437827270313,465.9483361886719,372.7586689509375,248.505779300625,279.56900171320314,642.0513025781249,401.28206411132805,321.02565128906247,240.76923846679682,214.96303279687496,179.13586066406248,143.30868853125,179.13586066406248
2043,916.5725749898437,416.6238977226562,249.9743386335937,49.99486772671874,33.329911817812494,931.8966723773437,807.6437827270313,465.9483361886719,372.7586689509375,248.505779300625,279.56900171320314,642.0513025781249,401.28206411132805,321.02565128906247,240.76923846679682,214.96303279687496,179.13586066406248,143.30868853125,179.13586066406248
2044,916.996980564844,416.8168093476563,250.09008560859377,50.018017121718756,33.345344747812504,932.3281735523439,808.0177504120314,466.1640867761719,372.93126942093755,248.62084628062505,279.6984520657032,642.3485950781251,401.46787192382817,321.17429753906254,240.8807231542969,215.062568296875,179.21880691406253,143.37504553125004,179.21880691406253
2045,916.996980564844,416.8168093476563,250.09008560859377,50.018017121718756,33.345344747812504,932.3281735523439,808.0177504120314,466.1640867761719,372.93126942093755,248.62084628062505,279.6984520657032,642.3485950781251,401.46787192382817,321.17429753906254,240.8807231542969,215.062568296875,179.21880691406253,143.37504553125004,179.21880691406253
2046,916.996980564844,416.8168093476563,250.09008560859377,50.018017121718756,33.345344747812504,932.3281735523439,808.0177504120314,466.1640867761719,372.93126942093755,248.62084628062505,279.6984520657032,642.3485950781251,401.46787192382817,321.17429753906254,240.8807231542969,215.062568296875,179.21880691406253,143.37504553125004,179.21880691406253
2047,916.996980564844,416.8168093476563,250.09008560859377,50.018017121718756,33.345344747812504,932.3281735523439,808.0177504120314,466.1640867761719,372.93126942093755,248.62084628062505,279.6984520657032,642.3485950781251,401.46787192382817,321.17429753906254,240.8807231542969,215.062568296875,179.21880691406253,143.37504553125004,179.21880691406253
2048,916.996980564844,416.8168093476563,250.09008560859377,50.018017121718756,33.345344747812504,932.3281735523439,808.0177504120314,466.1640867761719,372.93126942093755,248.62084628062505,279.6984520657032,642.3485950781251,401.46787192382817,321.17429753906254,240.8807231542969,215.062568296875,179.21880691406253,143.37504553125004,179.21880691406253
2049,916.996980564844,416.8168093476563,250.09008560859377,50.018017121718756,33.345344747812504,932.3281735523439,808.0177504120314,466.1640867761719,372.93126942093755,248.62084628062505,279.6984520657032,642.3485950781251,401.46787192382817,321.17429753906254,240.8807231542969,215.062568296875,179.21880691406253,143.37504553125004,179.21880691406253
2050,916.996980564844,416.8168093476563,250.09008560859377,50.018017121718756,33.345344747812504,932.3281735523439,808.0177504120314,466.1640867761719,372.93126942093755,248.62084628062505,279.6984520657032,642.3485950781251,401.46787192382817,321.17429753906254,240.8807231542969,215.062568296875,179.21880691406253,143.37504553125004,179.21880691406253
